ISIN;Name;Anlageklasse;Währung;Gewichtung;Sektor;Land
JP3131090007;IIDA GROUP HOLDINGS CO LTD;EQUITY;JPY;0,0003856;Nicht-Basiskonsumgüter;Japan
FR0000130403;CHRISTIAN DIOR SE;EQUITY;EUR;0,000382735;Nicht-Basiskonsumgüter;Frankreich
JP3386380004;J FRONT RETAILING CO LTD;EQUITY;JPY;0,000376567;Nicht-Basiskonsumgüter;Japan
JP3942800008;YAMAHA MOTOR;EQUITY;JPY;0,000371421;Nicht-Basiskonsumgüter;Japan
JP3358200008;SHIMAMURA CO LTD;EQUITY;JPY;0,000334912;Nicht-Basiskonsumgüter;Japan
JP3977400005;RINNAI CORP  JPY50;EQUITY;JPY;0,000322087;Nicht-Basiskonsumgüter;Japan
JP3419050004;SEGA SAMMY HOLDINGS INC;EQUITY;JPY;0,000304873;Nicht-Basiskonsumgüter;Japan
DE0007664005;VOLKSWAGEN AG (XETRA);EQUITY;EUR;0,000281218;Nicht-Basiskonsumgüter;Deutschland
SE0021628898;VOLVO CAR AB-B;EQUITY;SEK;0,000219683;Nicht-Basiskonsumgüter;Schweden
US5260573028;LENNAR CORP - B SHS;EQUITY;USD;0,000207308;Nicht-Basiskonsumgüter;USA
JP3942600002;YAMAHA CORP;EQUITY;JPY;0,000193764;Nicht-Basiskonsumgüter;Japan
JP3284600008;KOITO MANUFACTURING CO LTD;EQUITY;JPY;0,000173479;Nicht-Basiskonsumgüter;Japan
JP3657400002;NIKON CORP;EQUITY;JPY;0,000173275;Nicht-Basiskonsumgüter;Japan
DE000F10PE26;STOXX 600 AUTO 12/25 EUREX;FUTURE;EUR;0,000145683;; 
JP3396210001;SKYLARK HOLDINGS CO LTD;EQUITY;JPY;9,57458E-05;Nicht-Basiskonsumgüter;Japan
